iter	Passed	Remaining
610	1287	1874
611	1290	1872
612	1292	1870
613	1294	1868
614	1296	1866
615	1299	1864
616	1301	1862
617	1303	1860
618	1305	1858
619	1307	1856
620	1310	1854
621	1312	1852
622	1314	1850
623	1316	1848
624	1319	1846
625	1321	1844
626	1323	1842
627	1324	1838
628	1326	1836
629	1327	1833
630	1330	1831
631	1332	1829
632	1334	1827
633	1336	1825
634	1338	1823
635	1341	1821
636	1343	1819
637	1345	1817
638	1347	1814
639	1349	1812
640	1349	1809
641	1352	1806
642	1354	1804
643	1356	1802
644	1357	1799
645	1359	1797
646	1361	1794
647	1363	1792
648	1365	1790
649	1367	1788
650	1369	1786
651	1372	1784
652	1374	1782
653	1376	1780
654	1378	1778
655	1380	1776
656	1383	1774
657	1384	1771
658	1386	1769
659	1388	1767
660	1391	1765
661	1393	1763
662	1395	1761
663	1397	1759
664	1399	1757
665	1402	1755
666	1404	1753
667	1405	1750
668	1407	1748
669	1409	1746
670	1412	1744
671	1414	1742
672	1416	1740
673	1418	1738
674	1420	1736
675	1423	1734
676	1425	1732
677	1427	1730
678	1429	1728
679	1432	1726
680	1434	1724
681	1436	1722
682	1438	1720
683	1440	1718
684	1442	1716
685	1445	1714
686	1447	1712
687	1448	1710
688	1451	1708
689	1453	1706
690	1455	1704
691	1457	1702
692	1460	1700
693	1462	1698
694	1463	1695
695	1465	1693
696	1468	1691
697	1469	1688
698	1471	1686
699	1474	1684
700	1476	1682
701	1478	1680
702	1480	1678
703	1482	1676
704	1484	1674
705	1487	1672
706	1489	1670
707	1491	1668
708	1494	1666
709	1496	1664
710	1498	1662
711	1500	1660
712	1503	1659
713	1505	1657
714	1507	1655
715	1509	1653
716	1511	1650
717	1513	1648
718	1516	1646
719	1518	1644
720	1520	1642
721	1522	1640
722	1524	1638
723	1526	1636
724	1529	1634
725	1531	1632
726	1533	1630
727	1535	1628
728	1537	1626
729	1539	1624
730	1542	1622
731	1544	1620
732	1546	1618
733	1548	1616
734	1550	1614
735	1553	1612
736	1555	1610
737	1557	1607
738	1559	1606
739	1561	1604
740	1564	1602
741	1566	1600
742	1568	1598
743	1570	1596
744	1572	1593
745	1575	1591
746	1577	1589
747	1579	1587
748	1581	1585
749	1583	1583
750	1585	1581
751	1587	1579
752	1589	1577
753	1592	1575
754	1594	1573
755	1596	1571
756	1598	1569
757	1600	1567
758	1603	1565
759	1605	1563
760	1607	1560
761	1609	1558
762	1611	1556
763	1613	1554
764	1616	1552
765	1618	1550
766	1620	1548
767	1622	1546
768	1624	1544
769	1626	1542
770	1629	1540
771	1631	1538
772	1633	1536
773	1635	1534
774	1636	1530
775	1638	1528
776	1640	1526
777	1641	1523
778	1644	1521
779	1646	1519
780	1648	1517
781	1650	1515
782	1652	1513
783	1654	1511
784	1656	1509
785	1659	1507
786	1661	1505
787	1663	1503
788	1665	1501
789	1667	1499
790	1670	1497
791	1672	1494
792	1674	1492
793	1676	1490
794	1678	1488
795	1680	1486
796	1682	1484
797	1685	1482
798	1685	1479
799	1688	1477
800	1690	1475
801	1692	1472
802	1694	1470
803	1696	1468
804	1699	1466
805	1701	1464
806	1703	1462
807	1705	1460
808	1706	1457
809	1708	1455
810	1710	1453
811	1713	1451
812	1715	1449
813	1717	1447
814	1719	1445
815	1720	1442
816	1722	1440
817	1725	1438
818	1727	1436
819	1729	1434
820	1731	1432
821	1733	1430
822	1735	1427
823	1738	1425
824	1740	1424
825	1742	1421
826	1744	1419
827	1746	1417
828	1747	1414
829	1749	1412
830	1752	1410
831	1754	1408
832	1756	1406
833	1758	1404
834	1760	1402
835	1762	1400
836	1765	1398
837	1767	1396
838	1769	1394
839	1771	1391
840	1773	1389
841	1775	1387
842	1776	1384
843	1779	1382
844	1781	1380
845	1783	1378
846	1785	1376
847	1788	1374
848	1790	1372
849	1792	1370
850	1793	1367
851	1795	1365
852	1798	1363
853	1800	1361
854	1802	1359
855	1804	1357
856	1806	1355
857	1808	1353
858	1811	1351
859	1812	1348
860	1814	1346
861	1816	1344
862	1818	1342
863	1821	1340
864	1823	1338
865	1825	1336
866	1827	1334
867	1829	1332
868	1831	1330
869	1834	1328
870	1836	1326
871	1838	1324
872	1840	1322
873	1842	1319
874	1845	1317
875	1847	1315
876	1849	1313
877	1851	1311
878	1853	1309
879	1856	1307
880	1858	1305
881	1860	1303
882	1862	1301
883	1864	1299
884	1867	1297
885	1869	1295
886	1871	1293
887	1873	1291
888	1875	1289
889	1878	1287
890	1880	1285
891	1882	1283
892	1884	1281
893	1886	1278
894	1889	1276
895	1891	1274
896	1893	1272
897	1895	1270
898	1897	1268
899	1900	1266
900	1902	1264
901	1904	1262
902	1906	1260
903	1908	1258
904	1911	1256
905	1913	1254
906	1915	1252
907	1917	1250
908	1919	1248
909	1921	1246
910	1923	1243
911	1926	1241
912	1928	1239
913	1930	1237
914	1932	1235
915	1934	1233
916	1936	1231
917	1938	1229
918	1941	1227
919	1943	1225
920	1945	1223
921	1947	1221
922	1949	1218
923	1952	1216
924	1954	1214
925	1956	1212
926	1958	1210
927	1960	1208
928	1962	1206
929	1965	1204
930	1967	1202
931	1969	1200
932	1971	1198
933	1973	1196
934	1975	1194
935	1978	1191
936	1980	1189
937	1982	1187
938	1983	1184
939	1985	1182
940	1987	1180
941	1989	1178
942	1991	1176
943	1994	1174
944	1996	1172
945	1998	1170
946	2000	1168
947	2002	1166
948	2004	1163
949	2006	1161
950	2009	1159
951	2011	1157
952	2013	1155
953	2015	1153
954	2017	1151
955	2019	1149
956	2022	1147
957	2024	1145
958	2026	1143
959	2028	1141
960	2030	1138
961	2032	1136
962	2035	1134
963	2037	1132
964	2039	1130
965	2041	1128
966	2043	1126
967	2045	1123
968	2047	1121
969	2049	1119
970	2051	1117
971	2053	1115
972	2055	1113
973	2058	1111
974	2060	1109
975	2062	1107
976	2064	1105
977	2066	1103
978	2069	1101
979	2071	1098
980	2073	1096
981	2075	1094
982	2077	1092
983	2079	1090
984	2082	1088
985	2084	1086
986	2086	1084
987	2088	1082
988	2090	1080
989	2093	1078
990	2095	1076
991	2097	1074
992	2099	1072
993	2101	1069
994	2104	1067
995	2106	1065
996	2108	1063
997	2110	1061
998	2113	1059
999	2115	1057
1000	2117	1055
1001	2119	1053
1002	2121	1051
1003	2123	1049
1004	2126	1047
1005	2128	1045
1006	2130	1043
1007	2132	1040
1008	2134	1038
1009	2137	1036
1010	2139	1034
1011	2141	1032
1012	2143	1030
1013	2145	1028
1014	2148	1026
1015	2150	1024
1016	2152	1022
1017	2154	1020
1018	2156	1018
1019	2158	1015
1020	2161	1013
1021	2163	1011
1022	2165	1009
1023	2167	1007
1024	2170	1005
1025	2172	1003
1026	2174	1001
1027	2176	999
1028	2178	997
1029	2180	995
1030	2182	992
1031	2184	990
1032	2186	988
1033	2188	986
1034	2190	984
1035	2192	982
1036	2195	980
1037	2197	978
1038	2199	975
1039	2201	973
1040	2203	971
1041	2206	969
1042	2208	967
1043	2210	965
1044	2212	963
1045	2214	961
1046	2216	959
1047	2219	957
1048	2221	954
1049	2223	952
1050	2225	950
1051	2227	948
1052	2229	946
1053	2232	944
1054	2234	942
1055	2236	940
1056	2238	938
1057	2240	935
1058	2242	933
1059	2244	931
1060	2246	929
1061	2248	927
1062	2251	925
1063	2253	923
1064	2255	921
1065	2257	919
1066	2259	917
1067	2262	915
1068	2264	912
1069	2266	910
1070	2268	908
1071	2270	906
1072	2272	904
1073	2275	902
1074	2277	900
1075	2279	898
1076	2282	896
1077	2284	894
1078	2286	892
1079	2288	890
1080	2291	888
1081	2293	885
1082	2295	883
1083	2297	881
1084	2299	879
1085	2301	877
1086	2304	875
1087	2306	873
1088	2308	871
1089	2310	869
1090	2313	867
1091	2315	865
1092	2317	862
1093	2319	860
1094	2321	858
1095	2324	856
1096	2326	854
1097	2328	852
1098	2330	850
1099	2333	848
1100	2335	846
1101	2337	844
1102	2339	842
1103	2341	840
1104	2344	837
1105	2346	835
1106	2348	833
1107	2350	831
1108	2352	829
1109	2355	827
1110	2357	825
1111	2359	823
1112	2361	821
1113	2363	819
1114	2366	816
1115	2368	814
1116	2370	812
1117	2372	810
1118	2374	808
1119	2376	806
1120	2379	804
1121	2381	802
1122	2383	800
1123	2385	798
1124	2387	795
1125	2390	793
1126	2392	791
1127	2394	789
1128	2396	787
1129	2398	785
1130	2401	783
1131	2403	781
1132	2405	779
1133	2407	777
1134	2409	774
1135	2412	772
1136	2414	770
1137	2416	768
1138	2418	766
1139	2420	764
1140	2422	762
1141	2425	760
1142	2427	758
1143	2429	756
1144	2431	753
1145	2433	751
1146	2436	749
1147	2438	747
1148	2440	745
1149	2442	743
1150	2444	741
1151	2447	739
1152	2449	737
1153	2451	734
1154	2453	732
1155	2455	730
1156	2457	728
1157	2458	726
1158	2460	724
1159	2462	721
1160	2465	719
1161	2467	717
1162	2469	715
1163	2471	713
1164	2474	711
1165	2476	709
1166	2478	707
1167	2480	705
1168	2482	702
1169	2484	700
1170	2487	698
1171	2489	696
1172	2491	694
1173	2493	692
1174	2496	690
1175	2498	688
1176	2500	686
1177	2502	684
1178	2505	682
1179	2507	679
1180	2509	677
1181	2511	675
1182	2513	673
1183	2516	671
1184	2518	669
1185	2520	667
1186	2522	665
1187	2524	663
1188	2527	660
1189	2529	658
1190	2531	656
1191	2533	654
1192	2535	652
1193	2537	650
1194	2540	648
1195	2542	646
1196	2544	644
1197	2546	641
1198	2548	639
1199	2550	637
1200	2552	635
1201	2555	633
1202	2557	631
1203	2559	629
1204	2561	627
1205	2563	624
1206	2565	622
1207	2567	620
1208	2569	618
1209	2571	616
1210	2574	614
1211	2576	612
1212	2578	610
1213	2580	607
1214	2582	605
1215	2584	603
1216	2587	601
1217	2589	599
1218	2591	597
1219	2593	595
1220	2595	593
1221	2597	590
1222	2600	588
1223	2602	586
1224	2604	584
1225	2606	582
1226	2608	580
1227	2610	578
1228	2613	576
1229	2615	574
1230	2617	571
1231	2619	569
1232	2621	567
1233	2623	565
1234	2625	563
1235	2627	561
1236	2629	559
1237	2632	557
1238	2634	554
1239	2636	552
1240	2638	550
1241	2641	548
1242	2643	546
1243	2645	544
1244	2647	542
1245	2649	540
1246	2651	538
1247	2654	535
1248	2656	533
1249	2658	531
1250	2660	529
1251	2663	527
1252	2665	525
1253	2667	523
1254	2669	521
1255	2672	519
1256	2674	516
1257	2676	514
1258	2678	512
1259	2680	510
1260	2682	508
1261	2684	506
1262	2687	504
1263	2689	502
1264	2691	499
1265	2693	497
1266	2695	495
1267	2698	493
1268	2700	491
1269	2702	489
1270	2704	487
1271	2706	485
1272	2709	483
1273	2711	480
1274	2713	478
1275	2715	476
1276	2717	474
1277	2719	472
1278	2721	470
1279	2724	468
1280	2726	466
1281	2728	463
1282	2730	461
1283	2732	459
1284	2734	457
1285	2737	455
1286	2739	453
1287	2741	451
1288	2743	449
1289	2745	447
1290	2748	444
1291	2750	442
1292	2752	440
1293	2754	438
1294	2756	436
1295	2758	434
1296	2761	432
1297	2763	430
1298	2765	427
1299	2767	425
1300	2769	423
1301	2772	421
1302	2774	419
1303	2776	417
1304	2779	415
1305	2781	413
1306	2783	411
1307	2785	408
1308	2787	406
1309	2789	404
1310	2792	402
1311	2794	400
1312	2796	398
1313	2798	396
1314	2800	394
1315	2802	391
1316	2804	389
1317	2807	387
1318	2809	385
1319	2811	383
1320	2813	381
1321	2815	379
1322	2818	377
1323	2820	374
1324	2822	372
1325	2824	370
1326	2826	368
1327	2828	366
1328	2831	364
1329	2833	362
1330	2835	360
1331	2838	357
1332	2840	355
1333	2842	353
1334	2844	351
1335	2846	349
1336	2848	347
1337	2851	345
1338	2853	343
1339	2855	340
1340	2857	338
1341	2860	336
1342	2862	334
1343	2864	332
1344	2866	330
1345	2868	328
1346	2871	326
1347	2873	323
1348	2875	321
1349	2877	319
1350	2879	317
1351	2881	315
1352	2884	313
1353	2886	311
1354	2888	309
1355	2890	306
1356	2892	304
1357	2894	302
1358	2897	300
1359	2899	298
1360	2901	296
1361	2903	294
1362	2905	292
1363	2908	289
1364	2910	287
1365	2912	285
1366	2914	283
1367	2916	281
1368	2918	279
1369	2921	277
1370	2923	275
1371	2925	272
1372	2927	270
1373	2929	268
1374	2931	266
1375	2933	264
1376	2935	262
1377	2938	260
1378	2940	257
1379	2942	255
1380	2944	253
1381	2946	251
1382	2948	249
1383	2951	247
1384	2953	245
1385	2955	243
1386	2957	240
1387	2959	238
1388	2961	236
1389	2963	234
1390	2966	232
1391	2968	230
1392	2970	228
1393	2972	226
1394	2974	223
1395	2977	221
1396	2979	219
1397	2981	217
1398	2983	215
1399	2985	213
1400	2988	211
1401	2990	209
1402	2992	206
1403	2994	204
1404	2996	202
1405	2999	200
1406	3001	198
1407	3003	196
1408	3005	194
1409	3007	191
1410	3010	189
1411	3012	187
1412	3014	185
1413	3016	183
1414	3018	181
1415	3021	179
1416	3023	177
1417	3025	174
1418	3027	172
1419	3029	170
1420	3032	168
1421	3034	166
1422	3036	164
1423	3038	162
1424	3040	160
1425	3043	157
1426	3045	155
1427	3047	153
1428	3049	151
1429	3052	149
1430	3054	147
1431	3056	145
1432	3058	143
1433	3060	140
1434	3063	138
1435	3065	136
1436	3067	134
1437	3069	132
1438	3072	130
1439	3074	128
1440	3076	125
1441	3078	123
1442	3080	121
1443	3082	119
1444	3085	117
1445	3087	115
1446	3089	113
1447	3091	111
1448	3093	108
1449	3096	106
1450	3098	104
1451	3100	102
1452	3102	100
1453	3104	98
1454	3106	96
1455	3108	93
1456	3110	91
1457	3112	89
1458	3114	87
1459	3117	85
1460	3119	83
1461	3121	81
1462	3123	79
1463	3125	76
1464	3128	74
1465	3130	72
1466	3132	70
1467	3134	68
1468	3136	66
1469	3138	64
1470	3140	61
1471	3142	59
1472	3144	57
1473	3147	55
1474	3149	53
1475	3151	51
1476	3153	49
1477	3155	46
1478	3157	44
1479	3160	42
1480	3162	40
1481	3164	38
1482	3166	36
1483	3168	34
1484	3170	32
1485	3173	29
1486	3175	27
1487	3177	25
1488	3179	23
1489	3181	21
1490	3183	19
1491	3186	17
1492	3188	14
1493	3190	12
1494	3192	10
1495	3194	8
1496	3196	6
1497	3198	4
1498	3200	2
1499	3203	0
